Id,Label,timeset
101,udtryksform,
84,teoretisk,
123,evaluere,
124,afslutning,
145,inddrage,
146,overvejelse,
140,redegoere,
142,udfoerelse,
106,progression,
112,databehandling,
107,krav,
76,forloeb,
51,kvantitativ,
135,afsluttende,
49,beskrive,
6,sammenhaeng,
44,natur,
38,praktisk,
74,tematisk,
67,udvaelge,
75,flerfaglig,
63,demonstrere,
39,undersoegelse,
48,kvalitativ,
41,opstille,
42,hypotese,
66,indhold,
50,mulighed,
40,laboratorie,
94,integrere,
144,analysere,
134,samtale,
45,iagttagelse,
43,vurdere,
77,tema,
15,undervisning,
143,resultat,
26,historisk,
24,perspektiver,
90,valg,
25,etisk,
119,data,
37,gennemfoere,
95,muliggoer,
65,metode,
79,tilrettelaegge,
118,analyse,
69,vaerdi,
7,eksemplarisk,
91,arbejdsform,
12,eksperimentel,
11,omverden,
8,problemstilling,
78,vedkommende,
10,tilgang,
1,NV,
9,oplevelsesorientere,
13,aktuel,
92,bringe,
111,maaledata,
141,formaal,
70,Indhold,
110,behandle,
47,model,
22,begraensning,
120,AT,
96,omfang,
16,betydning,
59,bidrag,
128,vejlede,
14,elev,
126,evaluering,
108,produkt,
23,samfundsmaessig,
136,bedoemmelse,
137,vurdering,
125,foretage,
58,fag,
17,kende,
129,afslutte,
103,skriftlig,
97,uddannelsestid,
122,relation,
71,feltarbejde,
19,forstaa,
61,udvikling,
60,teknologisk,
5,grundelement,
57,perspektivere,
62,eksempel,
113,praesenteres,
21,viden,
105,form,
4,arbejde,
114,computermodeller,
104,forskellig,
20,forholde,
3,naturvidenskab,
2,intro,
80,stimulere,
99,fremstilling,
121,perspektivering,
98,mundtlig,
72,relevans,
52,formidle,
133,baggrund,
115,koordineres,
68,samarbejde,
132,fortage,
116,matematik,
46,anvende,
64,identitet,
54,korrekt,
56,begreb,
117,parallelt,
109,it-redskab,
73,samfund,
131,individuelt,
53,emne,
81,aktiv,
130,udarbejder,
55,faglig,
93,laeringsrolle,
102,fordybelse,
138,praesentation,
100,medvirke,
18,tankegang,
127,standpunkt,
27,udtryk,
28,vidensbasseret,
29,menning,
30,forhold,
33,problem,
85,induktiv,
35,omraade,
31,naturfaglig,
86,undervisningsprincip,
34,nysgerrighed,
36,engagement,
87,prioritere,
32,aspekt,
88,selvstaendig,
139,maal,
89,arbejdsprocess,
83,dialog,
82,deltage,
